measured_at,question,route,route_s,agent_s,total_s,speech_words,cards,ok,notes
2026-08-19T11:52:00,what time is it,utility,1.047,0.06,1.109,3,0,yes,instant:time
2026-08-19T11:52:00,what day is it today,utility,0.734,0.0,0.75,3,0,yes,instant:date
2026-08-19T11:52:00,what is the date,utility,0.704,0.0,0.704,5,0,yes,instant:date
2026-08-19T11:52:00,what does mosfet mean,utility,1.125,0.0,1.14,29,0,yes,instant:define
2026-08-19T11:52:00,what does i2c stand for,persona,0.781,1.42,2.203,31,1,yes,instant miss (unknown) -> persona
2026-08-19T11:52:00,convert 3.3 volts to millivolts,utility,0.797,0.0,0.797,7,0,yes,instant:convert
2026-08-19T11:52:00,how many ohms in a kilohm,utility,0.875,0.0,0.891,8,0,yes,instant:convert
2026-08-19T11:52:00,what is the speed of light,utility,0.734,0.0,0.734,14,0,yes,instant:formula
2026-08-19T11:52:00,what is planck's constant,utility,0.578,0.0,0.61,16,0,yes,instant:constant
2026-08-19T11:52:00,what does capacitance mean,utility,0.671,0.0,0.671,26,0,yes,instant:define
