arm,trial,return_s,alive,kind,ok,spoken,survived_restart
old-blocking,1,0.041,0,error,0,That didn't work — the error is on the screen.,
old-blocking,2,0.046,0,error,0,That didn't work — the error is on the screen.,
old-blocking,3,0.051,0,error,0,That didn't work — the error is on the screen.,
old-blocking,4,0.046,0,error,0,That didn't work — the error is on the screen.,
old-blocking,5,0.049,0,error,0,That didn't work — the error is on the screen.,
old-background,1,0.049,0,output,1,Done. The output's on the screen.,
old-background,2,0.049,0,output,1,Done. The output's on the screen.,
old-background,3,0.043,0,output,1,Done. The output's on the screen.,
old-background,4,0.047,0,output,1,Done. The output's on the screen.,
old-background,5,0.05,0,output,1,Done. The output's on the screen.,
new,1,0.035,1,launched,1,Opening Firefox now.,
new,2,0.029,1,launched,1,Opening Firefox now.,
new,3,0.029,1,launched,1,Opening Firefox now.,
new,4,0.037,1,launched,1,Opening Firefox now.,
new,5,0.026,1,launched,1,Opening Firefox now.,
cgroup-probe,0,,,,,,survived
old-blocking,0,,,,,,never-started
old-background,0,,,,,,never-started
