transcript,route,agent_s,wasted
[redacted — 7 words],persona,1.39,False
[redacted — 8 words],persona,1.27,False
[redacted — 12 words],persona,1.5,False
elbow.,persona,1.31,True
[redacted — 6 words],persona,1.3,False
[redacted — 13 words],os,4.72,False
[redacted — 11 words],os,0.0,False
[redacted — 9 words],os,5.03,False
Bobo.,persona,1.38,True
[redacted — 8 words],os,27.7,False
Yes. Yes.,os,0.61,False
[redacted — 6 words],os,20.11,False
No.,os,0.0,False
[redacted — 10 words],os,6.53,False
Yes. Yes.,os,0.55,False
[redacted — 5 words],persona,1.83,False
[redacted — 16 words],os,5.41,False
No. No.,os,0.0,False
[redacted — 21 words],general,1.89,False
[redacted — 14 words],academic,5.05,False
Go to sleep.,os,6.22,False
No.,os,0.0,False
[redacted — 10 words],academic,6.98,False
[redacted — 9 words],academic,4.81,False
What's your name?,persona,0.0,False
[redacted — 16 words],persona,1.77,False
[redacted — 5 words],math,0.0,False
That's bad.,persona,1.55,False
Thank you for watching.,persona,1.39,False
[redacted — 6 words],academic,7.11,False
"Open, Creality print.",os,0.0,False
Yes.,os,0.14,False
[redacted — 18 words],os,18.17,False
[redacted — 18 words],os,6.42,False
Yes.,os,0.95,False
[redacted — 14 words],general,1.92,False
[redacted — 10 words],os,23.61,False
Yes. Yes.,os,3.39,False
[redacted — 9 words],os,16.86,False
No.,os,0.0,False
Sleep.,persona,1.3,True
Whoa.,persona,57.72,True
Nothing go to sleep.,persona,34.08,False
What's today's date?,utility,0.0,False
Nothing.,persona,9.94,True
ball.,persona,47.94,True
[redacted — 8 words],general,17.78,False
[redacted — 11 words],general,44.55,False
[redacted — 16 words],note,0.0,False
[redacted — 10 words],note,0.0,False
"Go to sleep, sleep.",persona,0.0,False
Go to sleep. Sleep.,persona,0.0,False
Sleep.,persona,0.0,True
Open Arduino IDE.,os,0.0,False
Yes,os,0.17,False
[redacted — 6 words],general,0.0,False
What's your name?,persona,0.0,False
[redacted — 17 words],persona,0.0,False
[redacted — 6 words],math,29.62,False
[redacted — 10 words],note,0.0,False
[redacted — 14 words],note,0.0,False
[redacted — 7 words],general,0.0,False
[redacted — 9 words],general,0.0,False
[redacted — 9 words],note,0.0,False
[redacted — 6 words],note,0.0,False
[redacted — 7 words],note,0.0,False
Nothing.,sleep,0.0,True
[redacted — 5 words],academic,7.72,False
"That's all, thank you.",sleep,0.0,False
[redacted — 11 words],general,19.45,False
Nothing.,sleep,0.0,True
[redacted — 10 words],persona,30.5,False
That's so big.,persona,33.16,False
Okay.,persona,49.81,True
Nothing.,sleep,0.0,True
[redacted — 7 words],persona,33.86,False
All right.,persona,32.28,False
[redacted — 7 words],correction,0.0,False
Nothing.,sleep,0.0,True
[redacted — 14 words],persona,11.66,False
ball.,persona,19.66,True
Mr. Albo.,persona,134.64,False
[redacted — 18 words],persona,17.09,False
Nothing.,sleep,0.0,True
All right.,persona,13.58,False
[redacted — 20 words],persona,14.97,False
Okay.,persona,8.23,True
I,persona,6.55,True
[redacted — 10 words],persona,9.58,False
[redacted — 18 words],academic,6.03,False
sink my schedule.,academic,12.34,False
[redacted — 7 words],academic,11.52,False
Nothing.,sleep,0.0,True
Nothing.,sleep,0.0,True
[redacted — 7 words],utility,0.0,False
Nothing.,sleep,0.0,True
What time is it?,utility,0.0,False
Nothing.,sleep,0.0,True
Okay.,persona,56.34,True
Nothing.,sleep,0.0,True
Nothing.,sleep,0.0,True
[redacted — 7 words],academic,4.28,False
Nothing.,sleep,0.0,True
[redacted — 7 words],persona,12.61,False
Nothing.,sleep,0.0,True
Okay.,persona,40.42,True
[redacted — 9 words],note,0.0,False
[redacted — 11 words],general,47.12,False
[redacted — 15 words],note,0.0,False
[redacted — 23 words],note,0.0,False
thing.,general,5.99,True
[redacted — 17 words],general,92.69,False
[redacted — 17 words],general,65.0,False
[redacted — 11 words],persona,16.94,False
Nothing.,sleep,0.0,True
she said.,persona,10.33,False
Nothing.,sleep,0.0,True
[redacted — 5 words],persona,64.89,False
Okay.,persona,15.36,True
Okay.,persona,4.83,True
Okay.,persona,17.05,True
Am I sure again?,persona,9.84,False
Nothing.,sleep,0.0,True
[redacted — 28 words],hardware,9.91,False
And that's it.,sleep,0.0,True
"Yeah, yeah, yeah, yeah.",persona,147.77,True
Nothing.,sleep,0.0,True
