kind,clip,label,set,fires,fired_at,true_peak,threshold,transcript
positive,midsentence-01.wav,midsentence,marginal,0,0.0014,0.0014,0.76,"I'm going to the store, Mr. Albo."
positive,midsentence-02.wav,midsentence,marginal,0,0.0075,0.0075,0.76,"I was walking down the street and I was like, hey, Mr. Oh, what time is it?"
positive,midsentence-03.wav,midsentence,marginal,0,0.0028,0.0032,0.76,"Last night I went to the store and got some potato chips. Hey, Mr."
positive,midsentence-04.wav,midsentence,marginal,0,0.0190,0.0190,0.76,"I love chocolate. Hey, Mr. All-Ball. What time is it?"
positive,midsentence-05.wav,midsentence,marginal,0,0.6276,0.6276,0.76,"I was going around the corner, hey Mr. Ullball, what time is it?"
positive,midsentence-06.wav,midsentence,marginal,0,0.0021,0.0035,0.76,"So last night I was having fun with my friends. So anyway, hey, Mr. Albo, what time is it?"
positive,midsentence-07.wav,midsentence,marginal,0,0.0051,0.0051,0.76,"I love chocolate pie and going to the movies. Hey, Mr. Albo, what time is it?"
positive,normal-01.wav,normal,original,1,0.8218,0.9864,0.76,"Hey, Mr. All-Bong."
positive,normal-02.wav,normal,original,1,0.9830,0.9830,0.76,Hey Mr. Arbol
positive,normal-03.wav,normal,original,1,0.8140,0.9946,0.76,"Hey, Mr. Arbol."
positive,normal-04.wav,normal,original,1,0.9853,0.9853,0.76,Hey Mr. Artball
positive,normal-05.wav,normal,original,1,0.9883,0.9975,0.76,"Hey, Mr. R. Ball."
positive,normal-06.wav,normal,original,1,0.9274,0.9926,0.76,"Hey, Mr. Upball."
positive,normal-07.wav,normal,original,0,0.5456,0.5456,0.76,"Hey, Mr. Alba."
positive,normal-08.wav,normal,original,1,0.8606,0.8606,0.76,"Hey, Mr. Arbol."
positive,normal-09.wav,normal,original,0,0.5927,0.5927,0.76,"Hey, Mr. Arbaugh."
positive,normal-10.wav,normal,original,0,0.1323,0.1323,0.76,"Hey, Mr. Upall."
positive,normal-11.wav,normal,original,1,0.7934,0.7934,0.76,"Hey, Mr. Alba."
positive,normal-12.wav,normal,original,0,0.0204,0.0185,0.76,"Hey, Mr. All-Ball."
positive,offaxis-01.wav,offaxis,marginal,1,0.7663,0.8228,0.76,"Hey, Mr. Ho-boom."
positive,offaxis-02.wav,offaxis,marginal,0,0.0142,0.0142,0.76,"Hey, Mr. All-Boy."
positive,offaxis-03.wav,offaxis,marginal,0,0.0037,0.0032,0.76,"Hey, Mr. Oh, boy."
positive,offaxis-04.wav,offaxis,marginal,0,0.0032,0.0032,0.76,"Hey, Mr. Upwell."
positive,offaxis-05.wav,offaxis,marginal,0,0.0362,0.0362,0.76,"Hey, Mr. Oh, boy."
