kind,clip,split,old_peak,new_peak
positive,midsentence-01.wav,train,0.0014,0.0015
positive,midsentence-02.wav,train,0.0075,0.2136
positive,midsentence-03.wav,train,0.005,0.0008
positive,midsentence-04.wav,train,0.019,0.0016
positive,midsentence-05.wav,test,0.6276,0.922
positive,midsentence-06.wav,test,0.0038,0.002
positive,midsentence-07.wav,train,0.0051,0.0011
positive,normal-01.wav,train,0.9864,0.9546
positive,normal-02.wav,train,0.983,0.9555
positive,normal-03.wav,train,0.9946,0.9619
positive,normal-04.wav,train,0.9853,0.9595
positive,normal-05.wav,test,0.9975,0.9664
positive,normal-06.wav,train,0.9926,0.9524
positive,normal-07.wav,test,0.5456,0.9442
positive,normal-08.wav,train,0.8606,0.9145
positive,normal-09.wav,test,0.5927,0.748
positive,normal-10.wav,test,0.1323,0.487
positive,normal-11.wav,train,0.7934,0.0526
positive,normal-12.wav,train,0.0153,0.0033
positive,offaxis-01.wav,train,0.8228,0.7786
positive,offaxis-02.wav,test,0.0142,0.0011
positive,offaxis-03.wav,train,0.0065,0.0009
positive,offaxis-04.wav,train,0.0032,0.001
positive,offaxis-05.wav,test,0.0362,0.0288
positive,offaxis-06.wav,train,0.5838,0.0087
positive,quiet-01.wav,train,0.9992,0.9622
positive,quiet-02.wav,train,0.9771,0.9144
positive,quiet-13.wav,test,0.0024,0.0314
positive,quiet-14.wav,train,0.0037,0.0013
positive,quiet-marginal-01.wav,train,0.0277,0.6202
positive,quiet-marginal-02.wav,train,0.9789,0.1886
positive,quiet-marginal-03.wav,test,0.4875,0.0162
positive,quiet-marginal-04.wav,train,0.0037,0.001
positive,quiet-marginal-05.wav,train,0.9864,0.849
positive,quiet-marginal-06.wav,train,0.8218,0.0043
positive,quiet-marginal-07.wav,train,0.9978,0.9617
positive,quiet-marginal-08.wav,test,0.8522,0.9322
positive,quiet-marginal-09.wav,test,0.9908,0.9268
positive,quiet-marginal-10.wav,test,0.9967,0.9592
positive,quiet-marginal-11.wav,train,0.9406,0.8575
positive,quiet-marginal-12.wav,train,0.8968,0.3455
positive,room-01.wav,train,0.0026,0.0009
positive,room-02.wav,train,0.0398,0.0032
positive,room-03.wav,train,0.3853,0.0164
positive,room-04.wav,train,0.0029,0.0008
positive,room-05.wav,test,0.0626,0.035
positive,room-06.wav,test,0.826,0.9312
negative,ambient-01.wav,train,0.0044,0.0008
negative,ambient-02.wav,test,0.0126,0.0009
negative,hey-jarvis-01.wav,train,0.0065,0.0009
negative,hey-jarvis-02.wav,test,0.0027,0.0008
negative,hey-jarvis-03.wav,train,0.0043,0.001
negative,hey-jarvis-04.wav,train,0.0073,0.0009
negative,hey-mister-01.wav,test,0.0066,0.0009
negative,hey-mister-03.wav,train,0.0016,0.0009
negative,hey-mister-05.wav,train,0.0047,0.0012
negative,hey-mister-odd-01.wav,train,0.0033,0.0013
negative,hey-mister-odd-02.wav,train,0.0029,0.0009
negative,hey-mister-odd-03.wav,test,0.7571,0.0012
negative,hey-mister-odd-04.wav,train,0.0069,0.0022
negative,hey-mr-odd-01.wav,train,0.0433,0.0023
negative,hey-mr-odd-02.wav,train,0.0885,0.0017
negative,hey-mr-odd-03.wav,train,0.0022,0.0012
negative,hey-mr-odd-04.wav,test,0.1694,0.0342
negative,hey-mr-on-call-01.wav,train,0.1461,0.0238
negative,hey-mr-on-call-02.wav,test,0.1325,0.0129
negative,odd-ball-01.wav,test,0.0014,0.0008
negative,odd-ball-02.wav,train,0.0044,0.0009
negative,speech-01.wav,test,0.0606,0.0014
negative,speech-02.wav,train,0.0235,0.002
known-limits,far-01.wav,train,0.3432,0.1702
known-limits,far-02.wav,train,0.0023,0.0008
known-limits,far-03.wav,train,0.0099,0.0011
known-limits,far-04.wav,train,0.0228,0.0137
known-limits,hey-mr-on-call-01.wav,train,0.8214,0.0158
known-limits,mister-odd-ball-01.wav,train,0.9912,0.6996
known-limits,mister-odd-ball-02.wav,train,0.5435,0.0159
