model,expected,got,tier,reachable,agreed,ms,crashed
qwen2.5:1.5b,academic,academic,gold,True,True,7563,False
qwen2.5:1.5b,persona,general,gold,True,True,406,False
qwen2.5:1.5b,hardware,os,gold,True,False,500,False
qwen2.5:1.5b,persona,general,silver,True,True,1234,False
qwen2.5:1.5b,persona,general,silver,True,True,594,False
qwen2.5:1.5b,persona,general,silver,True,True,594,False
qwen2.5:1.5b,persona,general,silver,True,True,656,False
qwen2.5:1.5b,persona,firmware,silver,True,False,547,False
qwen2.5:1.5b,os,general,silver,False,False,500,False
qwen2.5:1.5b,os,general,silver,False,False,562,False
qwen2.5:1.5b,os,general,silver,False,False,469,False
qwen2.5:1.5b,persona,persona,silver,True,True,359,False
qwen2.5:1.5b,os,general,silver,False,False,454,False
qwen2.5:1.5b,os,general,silver,True,False,453,False
qwen2.5:1.5b,os,general,silver,False,False,484,False
qwen2.5:1.5b,os,general,silver,True,False,453,False
qwen2.5:1.5b,os,general,silver,False,False,500,False
qwen2.5:1.5b,persona,persona,silver,True,True,422,False
qwen2.5:1.5b,os,general,silver,True,False,547,False
qwen2.5:1.5b,os,general,silver,True,False,453,False
qwen2.5:1.5b,general,academic,silver,True,False,594,False
qwen2.5:1.5b,academic,general,silver,False,False,578,False
qwen2.5:1.5b,os,general,silver,False,False,391,False
qwen2.5:1.5b,academic,academic,silver,True,True,437,False
qwen2.5:1.5b,academic,academic,silver,False,True,453,False
qwen2.5:1.5b,persona,persona,silver,False,True,453,False
qwen2.5:1.5b,persona,general,silver,True,True,688,False
qwen2.5:1.5b,math,math,silver,True,True,453,False
qwen2.5:1.5b,persona,persona,silver,True,True,453,False
qwen2.5:1.5b,persona,persona,silver,False,True,422,False
qwen2.5:1.5b,academic,academic,silver,False,True,422,False
qwen2.5:1.5b,os,os,silver,False,True,500,False
qwen2.5:1.5b,os,general,silver,True,False,406,False
qwen2.5:1.5b,os,general,silver,True,False,516,False
qwen2.5:1.5b,os,academic,silver,True,False,531,False
qwen2.5:1.5b,general,general,silver,False,True,578,False
qwen2.5:1.5b,os,general,silver,False,False,438,False
qwen2.5:1.5b,os,general,silver,False,False,500,False
qwen2.5:1.5b,persona,persona,silver,False,True,359,False
qwen2.5:1.5b,persona,persona,silver,False,True,453,False
qwen2.5:1.5b,persona,general,silver,False,True,422,False
qwen2.5:1.5b,utility,utility,silver,False,True,453,False
qwen2.5:1.5b,persona,general,silver,False,True,359,False
qwen2.5:1.5b,persona,persona,silver,True,True,360,False
qwen2.5:1.5b,general,academic,silver,True,False,484,False
qwen2.5:1.5b,general,academic,silver,True,False,563,False
qwen2.5:1.5b,persona,general,silver,False,True,390,False
qwen2.5:1.5b,persona,general,silver,False,True,328,False
qwen2.5:1.5b,os,os,silver,False,True,500,False
qwen2.5:1.5b,os,general,silver,True,False,422,False
qwen2.5:1.5b,general,general,silver,True,True,547,False
qwen2.5:1.5b,persona,persona,silver,True,True,469,False
qwen2.5:1.5b,math,math,silver,True,True,391,False
qwen2.5:1.5b,general,general,silver,True,True,468,False
qwen2.5:1.5b,general,general,silver,True,True,438,False
qwen2.5:1.5b,academic,general,silver,True,False,453,False
qwen2.5:1.5b,general,hardware,silver,True,False,437,False
qwen2.5:1.5b,persona,general,silver,True,True,766,False
qwen2.5:1.5b,persona,general,silver,True,True,469,False
qwen2.5:1.5b,persona,general,silver,False,True,390,False
qwen2.5:1.5b,persona,general,silver,True,True,672,False
qwen2.5:1.5b,persona,general,silver,False,True,563,False
qwen2.5:1.5b,persona,general,silver,True,True,453,False
qwen2.5:1.5b,persona,persona,silver,True,True,437,False
qwen2.5:1.5b,persona,persona,silver,True,True,469,False
qwen2.5:1.5b,persona,persona,silver,True,True,422,False
qwen2.5:1.5b,persona,general,silver,True,True,547,False
qwen2.5:1.5b,persona,persona,silver,True,True,484,False
qwen2.5:1.5b,academic,academic,silver,False,True,516,False
qwen2.5:1.5b,academic,academic,silver,True,True,437,False
qwen2.5:1.5b,academic,academic,silver,True,True,407,False
qwen2.5:1.5b,utility,quiz,silver,False,False,468,False
qwen2.5:1.5b,utility,utility,silver,False,True,485,False
qwen2.5:1.5b,academic,academic,silver,True,True,422,False
qwen2.5:1.5b,persona,general,silver,True,True,453,False
qwen2.5:1.5b,general,general,silver,True,True,484,False
qwen2.5:1.5b,general,general,silver,True,True,391,False
qwen2.5:1.5b,general,general,silver,True,True,515,False
qwen2.5:1.5b,general,general,silver,True,True,485,False
qwen2.5:1.5b,persona,general,silver,True,True,406,False
qwen2.5:1.5b,persona,general,silver,True,True,422,False
qwen2.5:1.5b,persona,os,silver,True,False,453,False
qwen2.5:1.5b,persona,persona,silver,True,True,438,False
qwen2.5:1.5b,hardware,firmware,silver,True,False,515,False
qwen2.5:1.5b,persona,persona,silver,False,True,360,False
qwen2.5:1.5b,firmware,hardware,seed,True,False,468,False
qwen2.5:1.5b,firmware,firmware,seed,True,True,469,False
qwen2.5:1.5b,firmware,firmware,seed,True,True,438,False
qwen2.5:1.5b,firmware,firmware,seed,True,True,515,False
qwen2.5:1.5b,quiz,quiz,seed,True,True,375,False
qwen2.5:1.5b,quiz,quiz,seed,True,True,360,False
qwen2.5:1.5b,quiz,quiz,seed,True,True,406,False
qwen2.5:1.5b,quiz,quiz,seed,True,True,500,False
qwen2.5:1.5b,screen,screen,seed,False,True,531,False
qwen2.5:1.5b,screen,general,seed,True,False,500,False
qwen2.5:1.5b,screen,general,seed,False,False,469,False
qwen2.5:1.5b,screen,screen,seed,True,True,500,False
qwen2.5:1.5b,web,web,seed,True,True,578,False
